"filename", "language", "JSON", "SQLite", "CSV", "Python", "Markdown", "Home Assistant", "JSON with Comments", "TypeScript", "JavaScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"/Users/gero/dev/Nexa/nexa/medusa/src/api/store/custom/product-types/middlewares.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 2, 33
"/Users/gero/dev/Nexa/nexa/medusa/src/api/store/custom/product-types/query-config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"/Users/gero/dev/Nexa/nexa/medusa/src/api/store/custom/product-types/route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 3, 26
"/Users/gero/dev/Nexa/nexa/medusa/src/api/store/custom/product-types/validators.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 2, 3, 33
"/Users/gero/dev/Nexa/nexa/medusa/src/jobs/README.md", "Markdown", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 12, 39
"/Users/gero/dev/Nexa/nexa/medusa/src/links/README.md", "Markdown", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 6, 20
"/Users/gero/dev/Nexa/nexa/medusa/src/modules/README.md", "Markdown", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 24, 81
"/Users/gero/dev/Nexa/nexa/medusa/src/modules/fashion/index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
"/Users/gero/dev/Nexa/nexa/medusa/src/modules/fashion/migrations/.snapshot-medusa.json", "JSON", 185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 186
"/Users/gero/dev/Nexa/nexa/medusa/src/modules/fashion/migrations/Migration20241002190028.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 9, 23
"/Users/gero/dev/Nexa/nexa/medusa/src/modules/fashion/models/color.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 4, 17
"/Users/gero/dev/Nexa/nexa/medusa/src/modules/fashion/models/material.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 4, 14
"/Users/gero/dev/Nexa/nexa/medusa/src/modules/fashion/service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"/Users/gero/dev/Nexa/nexa/medusa/src/scripts/README.md", "Markdown", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 21, 64
"/Users/gero/dev/Nexa/nexa/medusa/src/scripts/seed.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 2563, 0, 0, 0, 6, 70, 2639
"/Users/gero/dev/Nexa/nexa/medusa/src/subscribers/README.md", "Markdown", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 17, 62
"/Users/gero/dev/Nexa/nexa/medusa/src/workflows/README.md", "Markdown", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 18, 78
"/Users/gero/dev/Nexa/nexa/medusa/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 1, 35
"/Users/gero/dev/Nexa/nexa/storefront/.eslintrc.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/gero/dev/Nexa/nexa/storefront/.github/scripts/medusa-config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 4, 7, 77
"/Users/gero/dev/Nexa/nexa/storefront/.github/workflows/test-e2e.yaml", "Home Assistant", 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 1, 22, 151
"/Users/gero/dev/Nexa/nexa/storefront/.yarnrc.yml", "Home Assistant", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/gero/dev/Nexa/nexa/storefront/README.md", "Markdown", 0, 0, 0, 0, 214, 0, 0, 0, 0, 0, 0, 0, 90, 304
"/Users/gero/dev/Nexa/nexa/storefront/check-env-variables.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 8, 59
"/Users/gero/dev/Nexa/nexa/storefront/e2e/README.md", "Markdown", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 35, 90
"/Users/gero/dev/Nexa/nexa/storefront/e2e/data/reset.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 3, 8, 107
"/Users/gero/dev/Nexa/nexa/storefront/e2e/data/seed.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 1, 9, 103
