Date : 2025-03-02 12:22:41
Directory : /Users/gero/dev/Nexa
Total : 318 files,  82343 codes, 3364 comments, 5323 blanks, all 91030 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| nexa_old/python_scripts/importer (Files)                                                                                          |          3 |        712 |          0 |          1 |        713 |
| nexa_old/python_scripts/importer/2tall                                                                                            |          7 |      7,855 |          1 |         23 |      7,879 |
| nexa_old/python_scripts/importer/2tall (Files)                                                                                    |          5 |      5,561 |          1 |         21 |      5,583 |
| nexa_old/python_scripts/importer/2tall/out                                                                                        |          2 |      2,294 |          0 |          2 |      2,296 |
| nexa_old/python_scripts/importer/riesenhemd                                                                                       |          5 |      1,264 |          4 |         14 |      1,282 |
| nexa_old/python_scripts/importer/riesenhemd (Files)                                                                               |          3 |        378 |          4 |         13 |        395 |
| nexa_old/python_scripts/importer/riesenhemd/out                                                                                   |          2 |        886 |          0 |          1 |        887 |
| nexa_old/python_scripts/scrapers                                                                                                  |          6 |     24,203 |          0 |          6 |     24,209 |
| nexa_old/python_scripts/scrapers (Files)                                                                                          |          1 |      1,990 |          0 |          1 |      1,991 |
| nexa_old/python_scripts/scrapers/hemdende                                                                                         |          5 |     22,213 |          0 |          5 |     22,218 |
| nexa_old/python_scripts/scrapers/hemdende (Files)                                                                                 |          2 |      2,236 |          0 |          2 |      2,238 |
| nexa_old/python_scripts/scrapers/hemdende/dump                                                                                    |          3 |     19,977 |          0 |          3 |     19,980 |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                          | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/gero/dev/Nexa/backup/1737942552803-product-exports-01JJJQ5M73MM05N1KPAZJMGX42.csv                                          | CSV                |        265 |          0 |          0 |        265 |
| /Users/gero/dev/Nexa/backup/dump_2025-01-27_16_48_21.sql                                                                          | SQLite             |     14,197 |      2,604 |      2,739 |     19,540 |
| /Users/gero/dev/Nexa/nexa/.github/ISSUE_TEMPLATE/bug_report.md                                                                    | Markdown           |         30 |          0 |          9 |         39 |
| /Users/gero/dev/Nexa/nexa/.github/ISSUE_TEMPLATE/feature_request.md                                                               | Markdown           |         15 |          0 |          6 |         21 |
