,id,url,image_url,price,name,properties
20,21,https://www.hemden.de/herrenhemd/olymp/super-slim-n6/hellblau/kent/langarm-64cm/einfarbig/04666410,https://cdn.hemden.de/media/image/bd/25/cf/0466-64-10_800x0ew6gShJqJcG.jpg,59.95,"OLYMP No. Six Super Slim Hemd hellblau, Einfarbig","{'Marke': 'OLYMP', 'Stoff': 'Stoffart: Popeline', 'Nachhaltigkeit': 'OLYMP GREENCHOICE', 'Schnitt': 'Stark tailliert', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Kragenart': 'Urban Kent', 'Material': '97% Baumwolle / 3% Elastolefin', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'hellblau', 'Muster': 'Einfarbig', 'Brusttasche': 'Ohne Brusttasche', 'Manschette': 'Kombimanschette'}"
21,22,https://www.hemden.de/olymp-luxor-modern-fit-hemd-schwarz-einfarbig-langarm-6350.64.68,https://cdn.hemden.de/media/image/30/76/dd/6350-64-68_8005qoHvFSvdynjk.jpg,59.95,"OLYMP Luxor Modern Fit Hemd schwarz, Einfarbig","{'Marke': 'OLYMP', 'Stoff': 'Uni-Popeline', 'Schnitt': 'Leicht tailliert', 'Armlänge': 'Langarm (Normallänge)', 'Armlänge cm': '64cm', 'Material': '100% Baumwolle', 'Kragenart': 'New Kent', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'schwarz', 'Muster': 'Einfarbig', 'Brusttasche': 'Mit Brusttasche', 'Manschette': 'Kombimanschette'}"
22,23,https://www.hemden.de/herrenhemd/olymp/body-fit/weiss/royal-kent/langarm-64cm/einfarbig/05666400,https://cdn.hemden.de/media/image/c5/99/33/0566-64-00_800avf7SCnLQhhZd.jpg,69.95,"OLYMP Level Five Body Fit Hemd weiss, Einfarbig","{'Marke': 'OLYMP', 'Stoff': 'Twill', 'Nachhaltigkeit': 'OLYMP GREENCHOICE', 'Schnitt': 'Taillierter Schnitt', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Kragenart': 'Royal Kent', 'Material': '97% Baumwolle / 3% Elastolefin', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'weiss', 'Muster': 'Einfarbig', 'Brusttasche': 'Ohne Brusttasche', 'Manschette': 'Kombimanschette'}"
23,24,https://www.hemden.de/olymp-level-five-body-fit-hemd-schwarz-einfarbig-langarm-7060.64.68,https://cdn.hemden.de/media/image/00/3f/fb/7060-64-68_800Lw4bxoUzeHVOw.jpg,59.95,"OLYMP Level Five Body Fit Hemd schwarz, Einfarbig","{'Marke': 'OLYMP', 'Stoff': 'Uni-Popeline', 'Nachhaltigkeit': 'OLYMP GREENCHOICE', 'Schnitt': 'Taillierter Schnitt', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Kragenart': 'New York Kent', 'Material': '97% Baumwolle / 3% Elastolefin', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'schwarz', 'Muster': 'Einfarbig', 'Brusttasche': 'Ohne Brusttasche', 'Manschette': 'Sportmanschette', 'Besonderheiten': 'Teilungsnaht'}"
24,25,https://www.hemden.de/herrenhemd/olymp/slim-line/blau/new-kent/langarm-64cm/einfarbig/03046415,https://cdn.hemden.de/media/image/c0/c5/d0/0304-64-15_800sFsjrIAIFOCXc.jpg,59.95,"OLYMP Luxor Modern Fit Hemd blau, Einfarbig","{'Marke': 'OLYMP', 'Stoff': 'Chambray', 'Nachhaltigkeit': 'OLYMP GREENCHOICE', 'Schnitt': 'Leicht tailliert', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Kragenart': 'New Kent', 'Material': '100% Baumwolle', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'blau', 'Muster': 'Einfarbig', 'Brusttasche': 'Mit Brusttasche', 'Manschette': 'Kombimanschette'}"
25,26,https://www.hemden.de/marvelis-comfort-fit-hemd-schwarz-einfarbig-langarm-7973.64.68,https://cdn.hemden.de/media/image/e4/f9/df/7973-64-68_800pfiuyPev0aJT2.jpg,39.95,"Marvelis Comfort Fit Hemd schwarz, Einfarbig","{'Marke': 'Marvelis', 'Schnitt': 'Gerader Schnitt', 'Stoff': 'Uni-Popeline', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Material': '100% Baumwolle', 'Kragenart': 'New Kent', 'Pflege': 'Bügelfrei', 'Waschbar bis': '40 Grad', 'Farbe': 'schwarz', 'Muster': 'Einfarbig', 'Brusttasche': 'Mit Brusttasche', 'Manschette': 'Officemanschette'}"
26,27,https://www.hemden.de/olymp-luxor-modern-fit-hemd-weiss-einfarbig-langarm-0390.64.00,https://cdn.hemden.de/media/image/6a/a5/4d/0390-64-00_800nr2InRpJ4yXx6.jpg,69.95,"OLYMP Luxor Modern Fit Hemd weiss, Einfarbig","{'Marke': 'OLYMP', 'Stoff': 'Natté', 'Nachhaltigkeit': 'OLYMP GREENCHOICE', 'Schnitt': 'Leicht tailliert', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Kragenart': 'New Kent', 'Material': '100% Baumwolle', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '60 Grad', 'Farbe': 'weiss', 'Muster': 'Einfarbig', 'Brusttasche': 'Mit Brusttasche', 'Manschette': 'Kombimanschette'}"
27,28,https://www.hemden.de/olymp-luxor-modern-fit-hemd-blau-einfarbig-langarm-0300.64.15,https://cdn.hemden.de/media/image/fa/2b/60/0300-64-15_800arAXetcR69RyU.jpg,59.95,"OLYMP Luxor Modern Fit Hemd blau, Einfarbig","{'Marke': 'OLYMP', 'Stoff': 'Uni-Popeline', 'Nachhaltigkeit': 'OLYMP GREENCHOICE', 'Schnitt': 'Leicht tailliert', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Kragenart': 'New Kent', 'Material': '100% Baumwolle', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'blau', 'Muster': 'Einfarbig', 'Brusttasche': 'Mit Brusttasche', 'Manschette': 'Kombimanschette'}"
28,29,https://www.hemden.de/herrenhemd/olymp/slim-line/weiss/haifisch/langarm-64cm/einfarbig/03086400,https://cdn.hemden.de/media/image/21/40/a8/0308-64-00_800pPppOXqNFXH7l.jpg,59.95,"OLYMP Luxor Modern Fit Hemd weiss, Einfarbig","{'Marke': 'OLYMP', 'Stoff': 'Uni-Popeline', 'Nachhaltigkeit': 'OLYMP GREENCHOICE', 'Schnitt': 'Leicht tailliert', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Kragenart': 'Haifisch', 'Material': '100% Baumwolle', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '60 Grad', 'Farbe': 'weiss', 'Muster': 'Einfarbig', 'Brusttasche': 'Mit Brusttasche', 'Manschette': 'Kombimanschette'}"
29,30,https://www.hemden.de/herrenhemd/olymp/modern-fit/anthrazit/new-kent/langarm-64cm/einfarbig/03046467,https://cdn.hemden.de/media/image/4f/6d/ba/0304-64-67_800lbrNhCL34ZQ37.jpg,59.95,"OLYMP Luxor Modern Fit Hemd anthrazit, Einfarbig","{'Marke': 'OLYMP', 'Stoff': 'Chambray', 'Nachhaltigkeit': 'OLYMP GREENCHOICE', 'Schnitt': 'Leicht tailliert', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Kragenart': 'New Kent', 'Material': '100% Baumwolle', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'anthrazit', 'Muster': 'Einfarbig', 'Brusttasche': 'Mit Brusttasche', 'Manschette': 'Kombimanschette'}"
30,31,https://www.hemden.de/olymp-luxor-comfort-fit-hemd-blau-einfarbig-langarm-5131.64.15,https://cdn.hemden.de/media/image/5f/13/36/5131-64-15_800jJaNTbGEWU5vm.jpg,59.95,"Olymp Luxor Comfort Fit Hemd blau, Einfarbig","{'Marke': 'OLYMP', 'Schnitt': 'Gerader Schnitt', 'Stoff': 'Chambray', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Material': '100% Baumwolle', 'Kragenart': 'New Kent', 'Pflege': 'Bügelfrei und Knitterfrei', 'Waschbar bis': '40 Grad', 'Farbe': 'blau', 'Muster': 'Einfarbig', 'Brusttasche': 'Mit Brusttasche', 'Manschette': 'Kombimanschette'}"
31,32,https://www.hemden.de/olymp-level-five-body-fit-hemd-weiss-einfarbig-langarm-6091.64.00,https://cdn.hemden.de/media/image/f2/d0/5b/6091-64-00_800y1vQKJlCkyWyf.jpg,59.95,"OLYMP Level Five Body Fit Hemd weiss, Einfarbig","{'Marke': 'OLYMP', 'Stoff': 'Uni-Popeline', 'Nachhaltigkeit': 'OLYMP GREENCHOICE', 'Schnitt': 'Taillierter Schnitt', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Kragenart': 'Haifisch', 'Material': '97% Baumwolle / 3% Elastolefin', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'weiss', 'Muster': 'Einfarbig', 'Brusttasche': 'Ohne Brusttasche', 'Manschette': 'Officemanschette'}"
32,33,https://www.hemden.de/herrenhemd/marvelis/body-fit/schwarz/new-york-kent/langarm-64cm/einfarbig/67996468,https://cdn.hemden.de/media/image/2d/9a/77/6799-64-68_800PdQmZiTQ9LbAi.jpg,39.95,"Marvelis Body Fit Hemd schwarz, Einfarbig","{'Marke': 'Marvelis', 'Schnitt': 'Taillierter Schnitt', 'Stoff': 'Uni', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Material': '100% Baumwolle', 'Kragenart': 'New York Kent', 'Pflege': 'Bügelleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'schwarz', 'Muster': 'Einfarbig', 'Brusttasche': 'Ohne Brusttasche', 'Manschette': 'Sportmanschette'}"
33,34,https://www.hemden.de/olymp-luxor-comfort-fit-hemd-anthrazit-einfarbig-langarm-5131.64.67,https://cdn.hemden.de/media/image/10/60/64/5131-64-67_800TqT81sp8r9fGm.jpg,59.95,"OLYMP Luxor Comfort Fit Hemd anthrazit, Einfarbig","{'Marke': 'OLYMP', 'Stoff': 'Chambray', 'Nachhaltigkeit': 'OLYMP GREENCHOICE', 'Schnitt': 'Gerader Schnitt', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Kragenart': 'New Kent', 'Material': '100% Baumwolle', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'anthrazit', 'Muster': 'Einfarbig', 'Brusttasche': 'Mit Brusttasche', 'Manschette': 'Kombimanschette'}"
